mu,sigma,median,min,max,variance
0.002560986214744928,0.0042512268286756935,0.0026851190091170315,0.0026847781679726537,0.010740727575809704,6.558650392113555e-06
0.028398844430017,0.031212247338937266,0.025128947660057507,0.005290148620251642,0.12962096708832557,0.0008064943649603076
0.05762767930388253,0.07138840619533937,0.05805959279566213,0.0158364763977255,0.2744957799599114,0.0033209494219511313
0.07698251116505163,0.10257791895759405,0.07193677826235631,0.02664757587376379,0.35174354985829354,0.005926307025277298
0.08931213421036292,0.11710211667245365,0.08199437833317838,0.032802573435424115,0.3717388609164224,0.007976657317209878
0.0872817244586682,0.11511725504876266,0.08522994516127833,0.023102207362446028,0.32342956097933695,0.007618099424478881
0.05582785113387657,0.08226051868191875,0.06650339737934091,0.019948104391506058,0.1994115439642563,0.003116748962226283
0.09061175695285859,0.1061610070485584,0.07320032173458572,0.01984444979730158,0.33025943471709546,0.008210490498083917
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0017033567632624986,0.003925019130102996,0.0026857445567980676,0.002685348531079492,0.008055751164062071,2.901424262952096e-06
0.020597413510786124,0.02882249144369924,0.02116529393553793,0.002645505302512603,0.07935621922517283,0.0004242534433343147
0.04757224402809685,0.058199410241433845,0.04354952185550322,0.010557447906790819,0.17417596304002686,0.002263118401868796
0.06909345908716823,0.09072537901510773,0.07459895043786954,0.015987535439133133,0.2743908718909952,0.00477390608863019
0.0847280529669962,0.10165224934736453,0.08743285379301678,0.01639633454841907,0.2895805051107722,0.007178842959578114
0.07242675648108808,0.09427985241542598,0.06496206365748312,0.017330454764342487,0.2366866696700973,0.005245635054370835
0.047183562498375194,0.07849245447353136,0.06970626836209892,0.013283726405456891,0.1627668162640636,0.002226288570038078
0.05334892304969765,0.09142855273101977,0.10097879807247136,0.019551591969284854,0.1752335618666918,0.0028461075905625607
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0012661193515132753,0.003581456522287648,0.0026863192218958853,0.0026859409657569314,0.005372381008140219,1.6030582122763968e-06
0.017209714497521872,0.025665902385784055,0.021168012461645944,0.005291924968432332,0.07937019850177418,0.0002961742730862145
0.045787431366962804,0.0641447718127412,0.050148524197396835,0.00792017152303629,0.1979521159129615,0.002096488871184329
0.06630034821480045,0.10005417425418425,0.07993834898068178,0.023984700143141018,0.27973252286640515,0.004395736173403793
0.07252022818160929,0.12691219833285,0.1202185667421396,0.02186245339528508,0.28409026837607215,0.005259183495512678
0.07491749305807839,0.11674763650747814,0.10682336858703118,0.028871785161593826,0.2945187941063679,0.005612630766107223
0.06385460845530014,0.11017260206639998,0.09610451764589037,0.029841945047341178,0.25205843427035346,0.004077411020979688
0.0808708776159072,0.14108931918351453,0.13533381397991018,0.03882362771712929,0.2981773179446777,0.00654009884636704
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0031333962384417035,0.004836283765883198,0.0026871095668344067,0.002686550485639298,0.013435095050526258,9.818171987080617e-06
0.03212260871582881,0.035198981704794734,0.023818191281068123,0.0026468706611706225,0.14292542056585159,0.0010318619907102409
0.06825840554766438,0.07590391504847155,0.05148009902690065,0.021121602851960398,0.28516391545695485,0.004659209927909419
0.0836020770434815,0.11032241532678606,0.08126446690737191,0.031978482694754756,0.33314126892460993,0.006989307285984218
0.08994991139490864,0.13373545787693725,0.10245500009973474,0.02459370644935658,0.3550914370382622,0.008090986559951916
0.08520233083134571,0.14742993133871002,0.11686585466240668,0.0548358957464375,0.3576320966977462,0.007259437179094083
0.0650907075178978,0.11960857550418454,0.10257225617692281,0.033082072849361516,0.24481727343116186,0.004236800205180517
0.07713427388956969,0.12685046191139238,0.09863391132686017,0.050701072598633636,0.31658596339763473,0.005949696208471152
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
